underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2019-05-14,SPXW,2019-05-15,2595.000,P,0.05,0.05,0.05,0.05,4,0,0.00,716,0.05,2838.63,2839.31,0,0.00,650,0.05,2799.12,2865.45,0.05,40,0
^SPX,2019-05-14,SPXW,2019-05-15,2600.000,C,0.00,0.00,0.00,0.00,0,25,237.80,17,239.80,2838.63,2839.31,36,229.10,15,239.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2600.000,P,0.10,0.10,0.05,0.05,874,0,0.00,714,0.05,2838.63,2839.31,0,0.00,1072,0.05,2799.12,2865.45,0.05,4129,0
^SPX,2019-05-14,SPXW,2019-05-15,2605.000,C,0.00,0.00,0.00,0.00,0,10,232.80,10,234.80,2838.63,2839.31,36,224.10,36,240.90,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2605.000,P,0.05,0.05,0.05,0.05,98,0,0.00,386,0.05,2838.63,2839.31,0,0.00,613,0.05,2799.12,2865.45,0.05,1332,0
^SPX,2019-05-14,SPXW,2019-05-15,2610.000,C,0.00,0.00,0.00,0.00,0,25,227.80,17,229.80,2838.63,2839.31,36,219.10,15,229.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2610.000,P,0.10,0.10,0.05,0.05,71,0,0.00,373,0.05,2838.63,2839.31,0,0.00,607,0.05,2799.12,2865.45,0.07,3074,0
^SPX,2019-05-14,SPXW,2019-05-15,2615.000,C,0.00,0.00,0.00,0.00,0,10,222.80,10,224.80,2838.63,2839.31,36,214.10,35,230.30,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2615.000,P,0.05,0.05,0.05,0.05,11,0,0.00,375,0.05,2838.63,2839.31,0,0.00,268,0.05,2799.12,2865.45,0.05,1632,0
^SPX,2019-05-14,SPXW,2019-05-15,2620.000,C,0.00,0.00,0.00,0.00,0,25,217.80,23,220.10,2838.63,2839.31,36,212.10,15,219.50,2799.12,2865.45,0.00,0,0
